专利号,专利名称,专利类型,申请日,公开日,授权日,专利代理机构,专利法律状态,申请人类型,主申请人名称,主申请人地址,主申请人地址国家,累计被引用量,主分类号,专利分类号,专利分类号数量,国民经济行业分类代码,国民经济行业分类名称,大类,子类别
CN104289939B,转向节主销孔夹具,发明授权,2014-10-13,2015-01-21,2017-02-15,武汉开元知识产权代理有限公司,授权,企业,武汉鑫恒通车桥制造有限公司,430120 湖北省武汉市蔡甸区常福工业园18号地,CHN,,B23Q3/06(2006.01),B23Q3/06(2006.01),1.0,3425.0,机床附件制造,研发与设计整车组装,制造工艺研发与设计模具生产
CN108151751B,一种基于高精度地图和传统地图结合的路径规划方法及装置,发明授权,2017-11-21,2018-06-12,2020-04-21,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G01C21/30(2006.01),G01C21/30(2006.01);G01C21/34(2006.01),2.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计智能装置生产
CN104908758B,一种漏斗车的上漏斗脊,发明授权,2015-06-18,2015-09-16,2018-02-06,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B61D7/00(2006.01),B61D7/00(2006.01),1.0,3711.0,铁路机车车辆及动车组制造,整车组装,车厢生产
CN107274715B,一种大型停车场停车管理系统和方法,发明授权,2017-07-31,2017-10-20,2020-09-01,武汉谦源知识产权代理事务所(普通合伙),发明专利权授予,企业,南斗六星系统集成有限公司,430056 湖北省武汉经济技术开发区206M地块华中电子商务产业园B3/B5栋1-6层B3/B5-1室,CHN,.,G08G1/14(2006.01),G08G1/14(2006.01);H04W4/029(2018.01);H04W4/44(2018.01);H04L29/08(2006.01),4.0,3596,交通安全、管制及类似专用设备制造,辅助系统生产,智能装置生产
CN106892133B,负载摄像装置的飞行器云台稳定性测试方法,发明授权,2017-03-02,2017-06-27,2019-12-27,长沙轩荣专利代理有限公司,授权,企业,武汉星巡智能科技有限公司,430070 湖北省武汉市洪山区南湖大道53号南湖创业园三楼3001室,CHN,,B64F5/60(2017.01),B64F5/60(2017.01),1.0,3743.0,航空、航天相关设备制造,研发与设计汽车测试,制造工艺研发与设计汽车测试
CN107101178B,光导组件以及照明和/或信号指示装置,发明授权,2016-02-19,2017-08-29,2020-01-14,,发明专利权授予,企业,法雷奥照明湖北技术中心有限公司,430056 湖北省武汉市经济技术开发区耀华路6号,CHN,.,F21V8/00(2006.01),F21V8/00(2006.01);F21V5/02(2006.01);F21V7/00(2006.01),3.0,3879,灯用电器附件及其他照明器具制造,电气设备生产,车灯生产
CN109859515B,公交系统中GPS定位数据补偿方法及电子设备,发明授权,2019-01-28,2019-06-07,2020-05-12,北京路浩知识产权代理有限公司,发明专利权授予,企业,武汉元光科技有限公司,430000 湖北省武汉市东湖开发区光谷软件园F1栋18楼,CHN,.,G08G1/123(2006.01),G08G1/123(2006.01);G08G1/133(2006.01),2.0,3596.0,交通安全、管制及类似专用设备制造,电气设备生产,智能装置生产
CN104162734B,等离子切割机出弧方法,发明授权,2014-07-11,2014-11-26,2016-05-25,武汉开元知识产权代理有限公司,授权,企业,武汉慧谷银河智能系统工程有限公司,430031 湖北省武汉市江岸区岱家山科技创业城10号楼308,CHN,,B23K10/00(2006.01),B23K10/00(2006.01),1.0,3424.0,金属切割及焊接设备制造,研发与设计车身制造,制造工艺研发与设计车身壳体生产
CN106872085B,一种无人机机臂动能效率自动化测试装置,发明授权,2017-03-08,2017-06-20,2020-09-04,武汉东喻专利代理事务所(普通合伙),专利申请权、专利权的转移,企业,武汉飞流智能技术有限公司,430074 湖北省武汉市关东科技园7-5栋4138室,CHN,.,G01L3/26(2006.01),G01L3/26(2006.01);G01R31/00(2006.01),2.0,4090,其他仪器仪表制造业,研发与设计,汽车测试
CN105365910B,螺栓连接式均载平衡梁半挂车,发明授权,2015-11-27,2016-03-02,2017-12-26,武汉宇晨专利事务所,授权,企业,武汉神骏专用汽车制造股份有限公司,430311 湖北省武汉市黄陂区滠口街冯岭村,CHN,,B62D53/06(2006.01),B62D53/06(2006.01),1.0,3630.0,低速载货汽车制造,整车组装,车厢生产
CN109515168B,一种混合动力越野汽车冷却系统及其控制方法,发明授权,2018-11-21,2019-03-26,2020-10-02,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60K11/08(2006.01),B60K11/08(2006.01);B60K11/04(2006.01),2.0,3660,汽车零部件及配件制造,发动机制造辅助系统生产,冷却系统生产智能装置生产
CN111016933B,车架以及空中运输车辆,发明授权,2019-12-31,2020-04-17,2020-12-08,北京众达德权知识产权代理有限公司,发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B61B3/02(2006.01),B61B3/02(2006.01);B61D3/20(2006.01);B61D47/00(2006.01);B61D45/00(2006.01);B66D1/12(2006.01);B66D1/28(2006.01),6.0,3719.0,其他铁路运输设备制造,汽车底盘生产Null,车架生产Null
CN108859753B,力值可调节的离合器踏板系统和离合器踏板力值的调整方法,发明授权,2018-06-29,2018-11-23,2020-08-21,北京邦信阳专利商标代理有限公司,发明专利权授予,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道12号,CHN,.,B60K23/02(2006.01),B60K23/02(2006.01),1.0,3660.0,汽车零部件及配件制造,整车组装辅助系统生产,传动系统生产专用技术研发与设计
CN106513719B,基于三点支承结构的重载卧车静压头架主轴顶尖调整方法,发明授权,2016-11-09,2017-03-22,2019-03-19,,授权,企业,武汉重型机床集团有限公司,430205 湖北省武汉市东湖新技术开发区佛祖岭产业园佛祖岭一路3号,CHN,,B23B23/04(2006.01),B23B23/04(2006.01),1.0,3425.0,机床附件制造,研发与设计,专用技术研发与设计
CN107252971B,镀锌板激光叠焊方法,发明授权,2017-04-20,2017-10-17,2019-11-19,北京汇泽知识产权代理有限公司,授权,企业,武汉华工激光工程有限责任公司,430223 湖北省武汉市东湖开发区华中科技大学科技园激光产业园,CHN,,B23K26/21(2014.01),B23K26/21(2014.01);B23K26/60(2014.01);B23K101/16(2006.01),3.0,3421.0,金属切削机床制造,研发与设计车身制造,制造工艺研发与设计车身壳体生产
CN107999936B,一种针对封闭容器合拢缝的焊接工艺方法,发明授权,2017-11-29,2018-05-08,2020-11-03,武汉科皓知识产权代理事务所(特殊普通合伙),发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B23K9/235(2006.01),B23K9/235(2006.01);B23K9/18(2006.01);B23K9/16(2006.01);B23K28/02(2014.01);B23K101/12(2006.01),5.0,3424.0,金属切割及焊接设备制造,研发与设计车身制造,制造工艺研发与设计车身壳体生产
CN107655409B,一种铝合金缸盖尺寸和水套通透性综合测试机,发明授权,2017-10-16,2018-02-02,2019-11-08,北京天奇智新知识产权代理有限公司,授权,企业,武汉锦瑞技术有限公司,430100 湖北省武汉市蔡甸区常福工业示范园18号地块,CHN,,G01B11/00(2006.01),G01B11/00(2006.01);G01N21/17(2006.01),2.0,4090.0,其他仪器仪表制造业,发动机制造,汽车测试
CN105217048B,具有冷却系统的柔性排气通道,发明授权,2015-09-28,2016-01-06,2017-08-29,北京华沛德权律师事务所,授权,企业,易瓦特科技股份公司,430000 湖北省武汉市江岸区后湖街石桥一路5号4栋1层,CHN,,B64D33/04(2006.01),B64D33/04(2006.01);F01N13/08(2010.01);F01N13/14(2010.01);F01N1/08(2006.01),4.0,3741.0,飞机制造,发动机制造,冷却系统生产
CN105039901B,一种碳氮共渗轴承零件及制备方法和具有该零件的球轴承,发明授权,2015-06-29,2015-11-11,2017-10-24,武汉荆楚联合知识产权代理有限公司,授权,企业,三环集团有限公司,441022 湖北省襄樊市轴承路1号,CHN,,C23C8/32(2006.01),C23C8/32(2006.01);C21D1/18(2006.01);C21D9/40(2006.01),3.0,3360.0,金属表面处理及热处理加工,发动机制造汽车底盘生产,发动机配件生产传动系统生产
CN107482873B,一种低磁阻力永磁直线电机,发明授权,2017-09-27,2017-12-15,2019-08-09,北京汇泽知识产权代理有限公司,实质审查的生效,企业,武汉华中数控股份有限公司,430223 湖北省武汉市东湖新技术开发区庙山小区华中科技大学科技园,CHN,,H02K41/035(2006.01),H02K41/035(2006.01),1.0,3811.0,发电机及发电机组制造,电气设备生产,电动机生产
CN109291750B,采用复用动力的轮式车辆助推系统、含有该助推系统的底盘结构和汽车,发明授权,2018-09-14,2019-02-01,2020-09-04,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60G11/04(2006.01),B60G11/04(2006.01);B60G7/00(2006.01),2.0,3660,汽车零部件及配件制造,整车组装汽车底盘生产,传动系统生产车架生产
CN108296986B,一种同步器齿环内环加工复合夹具,发明授权,2017-12-26,2018-07-20,2020-02-07,北京市隆安律师事务所,发明专利权授予,企业,武汉协和齿环有限公司,430056 湖北省武汉市经济技术开发区创业三路38号,CHN,.,B24B41/06(2012.01),B24B41/06(2012.01),1.0,3425.0,机床附件制造,研发与设计整车组装,制造工艺研发与设计传动系统生产
CN109050363B,一种扶手角度自适应调节的铰座结构、座椅结构及汽车,发明授权,2018-08-08,2018-12-21,2020-04-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60N2/75(2018.01),B60N2/75(2018.01),1.0,3660.0,汽车零部件及配件制造,整车组装车身制造,座椅生产内外装饰及附件生产
CN102809729B,一种动力电池电量计量装置,发明授权,2012-05-11,2012-12-05,2016-01-13,武汉宇晨专利事务所,授权,企业,武汉中原电子集团有限公司,430074 湖北省武汉市关东科技工业园2号,CHN,,G01R31/36(2006.01),G01R31/36(2006.01);G01R22/06(2006.01),2.0,4090.0,其他仪器仪表制造业,电气设备生产,电控系统生产
CN108150322B,用于自然吸气发动机的塑料进气歧管总成,发明授权,2017-12-21,2018-06-12,2020-06-02,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F02M35/104(2006.01),F02M35/104(2006.01),1.0,3412.0,内燃机及配件制造,发动机制造,燃料供给系统生产
CN104708841B,行李箱地毯自动生产线中的增压结构,发明授权,2015-03-06,2015-06-17,2017-07-25,北京超凡志成知识产权代理事务所(普通合伙),授权,企业,东风佛吉亚汽车内饰有限公司,430000 湖北省武汉市经济技术开发区沌阳大道339号,CHN,,B30B1/32(2006.01),B30B1/32(2006.01),1.0,3422.0,金属成形机床制造,整车组装车身制造,内外装饰及附件生产
CN104421841B,反光塔、光反射组件以及照明和/或信号指示装置,发明授权,2013-09-05,2015-03-18,2016-04-13,中科专利商标代理有限责任公司,授权,企业,法雷奥照明湖北技术中心有限公司,430056 湖北省武汉市经济技术开发区耀华路6号,CHN,,F21V7/04(2006.01),F21V7/04(2006.01);F21V7/10(2006.01),2.0,3879.0,灯用电器附件及其他照明器具制造,电气设备生产,车灯生产
CN106599075B,一种统计用户行为数据的方法及装置,发明授权,2016-11-14,2017-04-26,2019-07-09,北京众达德权知识产权代理有限公司,授权,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,,G06F16/951(2019.01),G06F16/951(2019.01);G06F16/953(2019.01);G06F11/30(2006.01),3.0,3911.0,计算机整机制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产传感器生产控制器生产
CN105217047B,具有隔热罩的柔性排气通道,发明授权,2015-09-28,2016-01-06,2017-09-29,北京华沛德权律师事务所,授权,企业,易瓦特科技股份公司,430000 湖北省武汉市江岸区后湖街石桥一路5号4栋1层,CHN,,B64D33/04(2006.01),B64D33/04(2006.01);B64C1/40(2006.01),2.0,3741.0,飞机制造,辅助系统生产,排气系统生产
CN109038178B,一种传感器连接线的制作方法,发明授权,2018-08-02,2018-12-18,2020-06-16,,发明专利权授予,企业,武汉市海川汽车零部件有限公司,430000 湖北省武汉市蔡甸区奓山街白鹤泉东路附1号,CHN,.,H01R43/24(2006.01),H01R43/24(2006.01);H01R43/20(2006.01);H01R43/00(2006.01),3.0,3660.0,汽车零部件及配件制造,电气设备生产,电线生产
CN106208249B,一种电动汽车充电宝,发明授权,2016-08-29,2016-12-07,2019-05-24,北京轻创知识产权代理有限公司,授权,企业,武汉北方能源股份有限公司,430000 湖北省武汉市解放大道41号都市工业园A103-A126栋,CHN,,H02J7/00(2006.01),H02J7/00(2006.01);B60L53/66(2019.01);B60L58/12(2019.01),3.0,3829.0,其他输配电及控制设备制造,电气设备生产,蓄电池生产
CN109995631B,具有域控制功能的车载控制系统及方法,发明授权,2019-03-21,2019-07-09,2020-10-09,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,H04L12/40(2006.01),H04L12/40(2006.01);H04L29/08(2006.01);G06F8/658(2018.01),3.0,3921.0,通信系统设备制造,电气设备生产,智能装置生产电控系统生产
CN104009519B,微型电动车电池管理系统,发明授权,2014-04-30,2014-08-27,2016-08-17,北京汇泽知识产权代理有限公司,授权,企业,湖北一彰科技有限责任公司,430070 湖北省武汉市东湖开发区关山大道1号光谷软件园4.1期A1栋9层03号,CHN,,H02J7/00(2006.01),H02J7/00(2006.01);H01M10/42(2006.01),2.0,3829.0,其他输配电及控制设备制造,电气设备生产,蓄电池生产电控系统生产
CN110375107B,汽车电磁阀控制电路及其控制方法,发明授权,2019-07-15,2019-10-25,2020-11-24,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F16K31/06(2006.01),F16K31/06(2006.01),1.0,3443.0,阀门和旋塞制造,电气设备生产,电控系统生产
CN106181575B,一种重载高速电主轴在线加载平台及其使用方法,发明授权,2015-04-29,2016-12-07,2018-08-31,,授权,企业,武汉重型机床集团有限公司,430205 湖北省武汉市东湖新技术开发区佛祖岭产业园佛祖岭一路3号,CHN,.,B23Q17/00(2006.01),B23Q17/00(2006.01),1.0,3425.0,机床附件制造,研发与设计整车组装,制造工艺研发与设计汽车测试
CN108759701B,光纤振弦组合且初始值可调表贴式传感器,发明授权,2018-05-02,2018-11-06,2020-03-03,北京远大卓悦知识产权代理事务所(普通合伙),发明专利权授予,企业,中交第二航务工程局有限公司,430048 湖北省武汉市东西湖区金银湖路11号,CHN,.,G01B11/16(2006.01),G01B11/16(2006.01);G01B7/16(2006.01),2.0,4090.0,其他仪器仪表制造业,电气设备生产,传感器生产
CN106945541B,在线充纯电动车辆动力电池的充电控制方法及系统,发明授权,2017-02-23,2017-07-14,2020-02-04,武汉河山金堂专利事务所(普通合伙),发明专利权授予,企业,扬子江汽车集团有限公司,430040 湖北省武汉市东西湖区金潭路18号,CHN,.,B60L53/16(2019.01),B60L53/16(2019.01);B60L7/10(2006.01),2.0,3640.0,电车制造,电气设备生产,电控系统生产
CN104296864B,基于LIN总线的环境光传感器及在线标定、校准及传输方法,发明授权,2014-09-05,2015-01-21,2016-12-07,武汉河山金堂专利事务所(普通合伙),授权,企业,湖北开特汽车电子电器系统股份有限公司,430064 湖北省武汉市武昌区白沙洲堤后街52号,CHN,,G01J1/42(2006.01),G01J1/42(2006.01),1.0,4014.0,实验分析仪器制造,电气设备生产,传感器生产
CN109366296B,一种车钩钩体牵引台打磨加工装置,发明授权,2018-09-29,2019-02-22,2019-11-26,武汉科皓知识产权代理事务所(特殊普通合伙),授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B24B19/00(2006.01),B24B19/00(2006.01);B24B41/00(2006.01),2.0,3421.0,金属切削机床制造,研发与设计整车组装,制造工艺研发与设计整车组装
CN106882021B,可自动调节高度的缓冲块及其在汽车上的连接结构,发明授权,2017-03-22,2017-06-23,2019-03-29,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,B60J5/04(2006.01),B60J5/04(2006.01);B62D25/12(2006.01);E05F5/06(2006.01),3.0,3660,汽车零部件及配件制造,研发与设计整车组装辅助系统生产,专用技术研发与设计汽车安全装置生产智能装置生产
CN108060970B,一种汽车冷却模块集成结构,发明授权,2017-12-05,2018-05-22,2019-10-08,武汉开元知识产权代理有限公司,授权,企业,东风马勒热系统有限公司,430056 湖北省武汉市武汉经济技术开发区枫树五路,CHN,,F01P11/00(2006.01),F01P11/00(2006.01);F01P5/02(2006.01);F02B29/04(2006.01);B60K11/04(2006.01),4.0,3412,内燃机及配件制造,辅助系统生产,冷却系统生产
CN108243191B,风险行为识别方法、存储介质、设备及系统,发明授权,2018-01-10,2018-07-03,2019-08-23,武汉智权专利代理事务所(特殊普通合伙),授权,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,,H04L29/06(2006.01),H04L29/06(2006.01),1.0,3921,通信系统设备制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产电控系统生产
CN107963086B,一种行车控制方法及管道运输系统,发明授权,2017-11-21,2018-04-27,2019-12-24,北京众达德权知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61B13/10(2006.01),B61B13/10(2006.01);B61L23/00(2006.01);B61F5/00(2006.01);B61F5/52(2006.01);B65G1/10(2006.01),5.0,3719.0,其他铁路运输设备制造,研发与设计辅助系统生产,专用技术研发与设计智能装置生产
CN105180736B,汽车玻璃吻合度垂向变差仪,发明授权,2015-08-14,2015-12-23,2017-09-12,武汉今天智汇专利代理事务所(普通合伙),授权,企业,武汉武耀安全玻璃股份有限公司,430056 湖北省武汉市武汉经济技术开发区车城东路164号,CHN,,G01B5/00(2006.01),G01B5/00(2006.01),1.0,4090.0,其他仪器仪表制造业,研发与设计汽车测试,汽车测试
CN104108341B,带报警灯的多功能光传感器装置,发明授权,2014-07-17,2014-10-22,2017-01-18,武汉河山金堂专利事务所(普通合伙),授权,企业,湖北开特汽车电子电器系统股份有限公司,430064 湖北省武汉市武昌区白沙洲堤后街52号,CHN,,G01J1/42(2006.01),G01J1/42(2006.01),1.0,4014.0,实验分析仪器制造,电气设备生产,传感器生产车灯生产
CN110949200B,汽车前排座椅及其放平控制方法,发明授权,2019-12-18,2020-04-03,2020-11-13,北京邦信阳专利商标代理有限公司,发明专利权授予,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道12号,CHN,.,B60N2/22(2006.01),B60N2/22(2006.01);B60N2/838(2018.01);B60N2/844(2018.01);B60N2/853(2018.01),4.0,3660.0,汽车零部件及配件制造,整车组装,座椅生产
CN108313130B,一种装饰板快速装配和限位结构,发明授权,2018-01-30,2018-07-24,2020-07-10,武汉开元知识产权代理有限公司,发明专利权授予,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,.,B62D25/12(2006.01),B62D25/12(2006.01);B62D25/18(2006.01);B62D35/00(2006.01),3.0,3660.0,汽车零部件及配件制造,车身制造,内外装饰及附件生产
CN104554131B,可折叠的汽车座椅安全带导向器,发明授权,2014-12-24,2015-04-29,2017-04-12,武汉开元知识产权代理有限公司,授权,企业,东风李尔汽车座椅有限公司,430000 湖北省武汉市经济技术开发区创业道128号,CHN,,B60R22/26(2006.01),B60R22/26(2006.01),1.0,3660.0,汽车零部件及配件制造,整车组装辅助系统生产,座椅生产汽车安全装置生产
CN104953215B,腔体滤波器的谐振杆与抽头线的装配方法,发明授权,2015-05-29,2015-09-30,2018-05-18,武汉开元知识产权代理有限公司,授权,企业,武汉凡谷电子技术股份有限公司,430205 湖北省武汉市江夏区关凤路藏龙岛凡谷工业园4号楼2楼,CHN,.,H01P1/207(2006.01),H01P1/207(2006.01);H01P11/00(2006.01),2.0,3963.0,集成电路制造,研发与设计,制造工艺研发与设计
CN105932543B,调制掺杂型多周期应变补偿量子阱外延层及其生长方法,发明授权,2016-04-21,2016-09-07,2019-05-17,北京汇泽知识产权代理有限公司,授权,企业,武汉华工正源光子技术有限公司,430000 湖北省武汉市湖高新技术开发区华中科技大学科技园正源光子产业园,CHN,,H01S5/343(2006.01),H01S5/343(2006.01),1.0,3969.0,光电子器件及其他电子器件制造,研发与设计,制造工艺研发与设计
CN107507410B,一种渣土车的车辆调度方法和装置,发明授权,2017-07-28,2017-12-22,2019-10-25,北京路浩知识产权代理有限公司,授权,企业,武汉依迅北斗空间技术有限公司,430040 湖北省武汉市东湖新技术开发区武大科技园以南、万科城市花园西侧国家地球空间信息产业基地Ⅱ区（6期）A-1幢2层3号,CHN,,G08G1/00(2006.01),G08G1/00(2006.01),1.0,3596.0,交通安全、管制及类似专用设备制造,研发与设计,专用技术研发与设计
CN104989748B,一种应用在叉车驱动桥上的盘式制动器,发明授权,2015-07-01,2015-10-21,2017-07-21,武汉开元知识产权代理有限公司,授权,企业,武汉鑫恒通车桥制造有限公司,430120 湖北省武汉市蔡甸区常福工业园18号地,CHN,,F16D55/224(2006.01),F16D55/224(2006.01);F16D65/52(2006.01);F16D65/16(2006.01);F16D121/14(2012.01);F16D121/04(2012.01);F16D125/02(2012.01);F16D125/34(2012.01),7.0,3459.0,其他传动部件制造,汽车底盘生产,制动系统生产
CN107640224B,布置紧凑的汽车行李箱盖缓冲块总成及连接结构,发明授权,2017-08-31,2018-01-30,2019-08-20,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市经济技术开发区技术服务中心,CHN,,B62D25/12(2006.01),B62D25/12(2006.01);B62D25/10(2006.01),2.0,3660.0,汽车零部件及配件制造,车身制造,车厢生产
CN107829803B,SCR系统用集成式尿素计量泵,发明授权,2017-10-16,2018-03-23,2019-07-16,武汉开元知识产权代理有限公司,授权,企业,武汉凯沃森工业科技有限公司,430056 湖北省武汉市武汉经济技术开发区珠山湖大道全力南路凯沃森工业园,CHN,,F01N3/20(2006.01),F01N3/20(2006.01);F01N3/28(2006.01),2.0,3412.0,内燃机及配件制造,辅助系统生产,汽车安保系统生产
CN108247577B,一种同步器总成装配用机构及装配方法,发明授权,2017-12-26,2018-07-06,2019-08-23,北京市隆安律师事务所,授权,企业,武汉协和齿环有限公司,430056 湖北省武汉市经济技术开发区创业三路38号,CHN,,B25B27/30(2006.01),B25B27/30(2006.01),1.0,3322,手工具制造,研发与设计整车组装,制造工艺研发与设计整车组装
CN111243318B,公交中途站点位置检测方法及系统,发明授权,2020-01-14,2020-06-05,2020-12-11,合肥中谷知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉元光科技有限公司,430074 湖北省武汉市东湖开发区光谷新发展国际中心12楼,CHN,.,G08G1/123(2006.01),G08G1/123(2006.01),1.0,3596.0,交通安全、管制及类似专用设备制造,研发与设计电气设备生产,专用技术研发与设计传感器生产控制器生产智能装置生产
CN106400628B,模型解算方法、控制单元、控制系统及铁路道岔检测方法,发明授权,2016-08-31,2017-02-15,2019-01-08,北京超凡志成知识产权代理事务所(普通合伙),授权,企业,武汉汉宁轨道交通技术有限公司,433000 湖北省武汉市东湖开发区大学园路以南国家地球空间信息产业基地五期——武大慧园1#幢7层6号,CHN,,E01B35/12(2006.01),E01B35/12(2006.01),1.0,4029.0,其他专用仪器制造,研发与设计电气设备生产,专用技术研发与设计电控单元生产电控系统生产
CN110080879B,一种直喷发动机喷油器积碳自清洁控制方法,发明授权,2019-04-01,2019-08-02,2020-05-19,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F02B77/04(2006.01),F02B77/04(2006.01),1.0,3412.0,内燃机及配件制造,发动机制造,专用技术研发与设计发动机配件生产
CN109213763B,车载激光扫描点云的组织管理方法及系统,发明授权,2018-08-15,2019-01-15,2020-10-13,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G06F16/22(2019.01),G06F16/22(2019.01);G06F16/248(2019.01),2.0,3911.0,计算机整机制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产
CN107953904B,一种车辆停靠控制方法及站级控制系统,发明授权,2017-11-21,2018-04-24,2020-11-17,北京众达德权知识产权代理有限公司,发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B61L27/04(2006.01),B61L27/04(2006.01);B61L25/02(2006.01),2.0,3714,铁路专用设备及器材、配件制造,研发与设计辅助系统生产,专用技术研发与设计智能装置生产
CN110188262B,一种异常目标确定方法、装置、设备及介质,发明授权,2019-07-23,2019-08-30,2019-10-29,北京品源专利代理有限公司,授权,企业,武汉斗鱼网络科技有限公司,430070 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,,G06F16/953(2019.01),G06F16/953(2019.01);H04N21/466(2011.01);H04N21/4788(2011.01);H04N21/488(2011.01),4.0,3911.0,计算机整机制造,研发与设计,专用技术研发与设计
CN107916855B,可保护行人的主动式机罩铰链,发明授权,2017-11-06,2018-04-17,2019-09-24,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,E05D3/06(2006.01),E05D3/06(2006.01);E05D5/02(2006.01);E05D11/00(2006.01);E05D11/06(2006.01);B60R21/38(2011.01),5.0,3351.0,建筑、家具用金属配件制造,研发与设计整车组装辅助系统生产,专用技术研发与设计汽车安全装置生产车身壳体生产
CN107052558B,一种门板焊接生产线及生产方法,发明授权,2017-04-18,2017-08-18,2019-11-19,北京中济纬天专利代理有限公司,授权,企业,湖北三环汽车工程塑料有限公司,430056 湖北省武汉市经济技术开发区沌阳大街１３０号,CHN,,B23K20/10(2006.01),B23K20/10(2006.01);B23K20/26(2006.01);B25J9/16(2006.01);B25J11/00(2006.01);B25J19/00(2006.01),5.0,3424.0,金属切割及焊接设备制造,车身制造,车门生产
CN108263441B,一种管道运输车控制系统,发明授权,2017-11-21,2018-07-10,2019-11-26,北京众达德权知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61L23/00(2006.01),B61L23/00(2006.01);B61L27/00(2006.01),2.0,3714.0,铁路专用设备及器材、配件制造,辅助系统生产,智能装置生产
CN106493424B,一种板材成型配件剪板机切边压紧装置及切边工艺,发明授权,2016-11-29,2017-03-15,2019-05-10,武汉科皓知识产权代理事务所(特殊普通合伙),授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B23D33/02(2006.01),B23D33/02(2006.01),1.0,3425.0,机床附件制造,研发与设计车身制造,制造工艺研发与设计模具生产
CN109374319B,一种压吨承载装置及其使用的单轴转向架空车高检测方法,发明授权,2018-09-29,2019-02-22,2020-09-22,武汉科皓知识产权代理事务所(特殊普通合伙),发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,G01M17/08(2006.01),G01M17/08(2006.01),1.0,4015,试验机制造,研发与设计汽车测试,专用技术研发与设计汽车测试
